model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,satisfiability_result
nested-3,,f1,old,12,51155490,,timeout,SAT
nested-3,,f1,old,16,107322414,,timeout,SAT
nested-3,,f1,old,20,,,timeout,SAT
nested-3,,f2,old,4,2128699,1.939131251,1367.452515,SAT
nested-3,,f2,old,8,7793079,,timeout,SAT
nested-3,,f2,old,12,19215795,,timeout,SAT
nested-3,,f2,old,16,38415151,,timeout,SAT
nested-3,,f2,old,20,67409451,,timeout,SAT
nested-3,,f3,old,4,2126111,1.469403571,891.8792934,SAT
nested-3,,f3,old,8,7783383,,timeout,SAT
nested-3,,f3,old,12,19194639,,timeout,SAT
nested-3,,f3,old,16,38378183,,timeout,SAT
nested-3,,f3,old,20,67352319,,timeout,SAT
nested-3,,f4,old,4,4340356,,timeout,SAT
nested-3,,f4,old,8,19068516,,timeout,SAT
nested-3,,f4,old,12,51135172,,timeout,SAT
nested-3,,f4,old,16,107286436,,timeout,SAT
nested-3,,f4,old,20,,,timeout,SAT
nested-3,,f5,old,4,2126158,0.827077781,633.6683173,SAT
nested-3,,f5,old,8,7783454,,timeout,SAT
nested-3,,f5,old,12,19194734,,timeout,SAT
nested-3,,f5,old,16,38378302,,timeout,SAT
nested-3,,f5,old,20,67352462,,timeout,SAT
nested-3,,f6,old,4,4378675,,timeout,SAT
nested-3,,f6,old,8,19180127,,timeout,SAT
nested-3,,f6,old,12,,,timeout,SAT
nested-3,,f6,old,16,107659255,,timeout,SAT
nested-3,,f6,old,20,,,timeout,SAT
nested-3,,f7,old,4,5521650,,timeout,SAT
nested-3,,f7,old,8,21561442,,timeout,SAT
nested-3,,f7,old,12,54817362,,timeout,SAT
nested-3,,f7,old,16,,,timeout,SAT
nested-3,,f7,old,20,,,timeout,SAT
nested-3,,f8,old,4,2126320,1.949063094,1054.814179,SAT
nested-3,,f8,old,8,7784048,,timeout,SAT
nested-3,,f8,old,12,19196016,,timeout,SAT
nested-3,,f8,old,16,38380528,,timeout,SAT
nested-3,,f8,old,20,67355888,,timeout,SAT
nested-3,,f9,old,4,3008357,0.493705996,782.962322,SAT
nested-3,,f9,old,8,12100877,,timeout,SAT
nested-3,,f9,old,12,31187445,,timeout,SAT
nested-3,,f9,old,16,63972893,,timeout,SAT
nested-3,,f9,old,20,114162053,,timeout,SAT
nested-3,,f10,old,4,5756106,1.617647748,1002.392876,SAT
nested-3,,f10,old,8,26695690,,timeout,SAT
nested-3,,f10,old,12,,,timeout,SAT
nested-3,,f10,old,16,,,timeout,SAT
nested-3,,f10,old,20,,,timeout,SAT
