model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
thermo,polynomial,f1,new,14,88841,0.012095654,5.158636633,no counterexample
thermo,polynomial,f1,new,16,100769,0.012782712,5.892890935,no counterexample
thermo,polynomial,f1,new,18,112697,0.014130246,6.577436495,no counterexample
thermo,polynomial,f1,new,20,124625,0.015640745,7.267365545,no counterexample
thermo,polynomial,f2,new,2,30396,0.002867929,1.718546754,no counterexample
thermo,polynomial,f3,new,2,16922,0.005095705,1.069032185,counterexample found
thermo,polynomial,f3,new,4,30378,0.031728724,5.802439064,counterexample found
thermo,polynomial,f3,new,6,45274,0.018128368,3.773453138,counterexample found
thermo,polynomial,f3,new,8,61610,0.029990747,10.78667341,counterexample found
thermo,polynomial,f4,new,2,16756,0.004712408,1.001628504,counterexample found
thermo,polynomial,f4,new,4,29954,0.009601189,2.449112003,counterexample found
thermo,polynomial,f4,new,6,44496,0.018178684,2.769731481,counterexample found
battery,polynomial,f1,new,2,13939,0.004533364,0.802832114,no counterexample
battery,polynomial,f1,new,4,24032,0.005326363,1.381176422,no counterexample
battery,polynomial,f1,new,6,34124,0.007352059,1.956306574,no counterexample
battery,polynomial,f1,new,8,44216,0.010023657,2.554343665,no counterexample
battery,polynomial,f1,new,10,54308,0.012220046,3.143294978,no counterexample
battery,polynomial,f1,new,12,64400,0.014374574,3.855369397,no counterexample
battery,polynomial,f1,new,14,74492,0.016406009,4.430277014,no counterexample
battery,polynomial,f1,new,16,84584,0.018601635,5.066997628,no counterexample
battery,polynomial,f1,new,18,94676,0.020559911,5.67698731,no counterexample
battery,polynomial,f1,new,20,104768,0.023469482,6.284283397,no counterexample
battery,polynomial,f2,new,2,10389,0.008778049,0.609517636,no counterexample
battery,polynomial,f2,new,4,18130,0.00645005,1.0755166,no counterexample
battery,polynomial,f2,new,6,25870,0.00887916,1.466876787,no counterexample
battery,polynomial,f2,new,8,33610,0.011480268,1.906739901,no counterexample
battery,polynomial,f2,new,10,41350,0.043269236,2.388856788,no counterexample
battery,polynomial,f2,new,12,49090,0.016524849,2.843460178,no counterexample
battery,polynomial,f2,new,14,56830,0.0205734,3.432184693,no counterexample
battery,polynomial,f2,new,16,64570,0.02145019,18.89306439,no counterexample
battery,polynomial,f2,new,18,72310,0.024945786,4.443071961,no counterexample
battery,polynomial,f2,new,20,80050,0.027175499,19.66555928,no counterexample
battery,polynomial,f3,new,2,16830,0.005785102,0.979663389,counterexample found
battery,polynomial,f3,new,4,30486,0.011207714,5.312362703,counterexample found
battery,polynomial,f3,new,6,45502,0.025524731,4439.561131,counterexample found
battery,polynomial,f4,new,2,8325,0.005773332,0.494677692,no counterexample
battery,polynomial,f4,new,4,15709,0.009429447,0.948015708,no counterexample
battery,polynomial,f4,new,6,23941,0.014868809,1.700488857,no counterexample
battery,polynomial,f4,new,8,33021,0.02239988,16.91441471,no counterexample
battery,polynomial,f4,new,10,42949,0.031272697,17.4533953,no counterexample
battery,polynomial,f4,new,12,53725,0.040421112,18.06724744,no counterexample
battery,polynomial,f4,new,14,65349,0.054327512,18.80142258,no counterexample
battery,polynomial,f4,new,16,77821,0.068733715,19.46417129,no counterexample
battery,polynomial,f4,new,18,91141,0.085707245,20.19729949,no counterexample
battery,polynomial,f4,new,20,105309,0.1518641,21.09478448,no counterexample
railroad,polynomial,f1,old,2,6975,0.003847403,0.560584932,counterexample found
railroad,polynomial,f1,old,4,19253,0.031354361,2.712868669,counterexample found
railroad,polynomial,f1,old,6,41547,0.010560482,12.54481647,counterexample found
railroad,polynomial,f1,old,8,77313,0.038768951,816.0884008,counterexample found
railroad,polynomial,f1,old,10,130007,0.035042997,581.356846,counterexample found
railroad,polynomial,f2,old,2,6971,0.005109672,0.910270109,no counterexample
railroad,polynomial,f2,old,4,19245,0.023140835,15.70822862,no counterexample
railroad,polynomial,f2,old,6,41535,0.010353505,20.08273301,no counterexample
railroad,polynomial,f2,old,8,77297,0.014406651,24.06390493,no counterexample
railroad,polynomial,f2,old,10,129987,0.034589851,30.46182903,no counterexample
railroad,polynomial,f2,old,12,203061,0.133748389,36.74958173,no counterexample
railroad,polynomial,f2,old,14,299975,0.155260504,55.37153573,no counterexample
railroad,polynomial,f2,old,16,424185,0.248900821,54.80659454,no counterexample
railroad,polynomial,f2,old,18,579147,0.240295384,67.68525982,no counterexample
railroad,polynomial,f2,old,20,768317,0.240076908,82.64102513,no counterexample
railroad,polynomial,f3,old,2,127128,0.042591513,17.46801684,counterexample found
railroad,polynomial,f4,old,2,126804,0.016709778,28.92113132,no counterexample
railroad,polynomial,f4,old,4,429734,0.06596671,63.52757991,no counterexample
railroad,polynomial,f4,old,6,1020888,0.317499646,134.2521063,no counterexample
railroad,polynomial,f4,old,8,1997034,0.580210702,238.3904444,no counterexample
car,polynomial,f1,old,2,13734,0.003671799,1.099768321,no counterexample
car,polynomial,f1,old,4,30656,0.006682169,2.438616292,no counterexample
car,polynomial,f1,old,6,57594,0.010257563,6.743227941,no counterexample
car,polynomial,f1,old,8,98004,0.037861447,11.51591497,no counterexample
car,polynomial,f1,old,10,155342,0.034358958,15.62784274,no counterexample
car,polynomial,f1,old,12,233064,0.119267863,21.70096456,no counterexample
car,polynomial,f1,old,14,334626,0.185903552,21.2871572,no counterexample
car,polynomial,f1,old,16,463484,0.15708219,31.17644188,no counterexample
car,polynomial,f1,old,18,623094,0.247135831,41.38344487,no counterexample
car,polynomial,f1,old,20,816912,0.162985895,46.92726806,no counterexample
car,polynomial,f2,old,2,13142,0.004018738,1.335577437,no counterexample
car,polynomial,f2,old,4,29668,0.007508312,2.918722347,no counterexample
car,polynomial,f2,old,6,56210,0.011459686,6.05574447,no counterexample
car,polynomial,f2,old,8,96224,0.039556665,8.154815191,no counterexample
car,polynomial,f2,old,10,153166,0.068329346,14.84194685,no counterexample
car,polynomial,f2,old,12,230492,0.216587335,19.25484227,no counterexample
car,polynomial,f2,old,14,331658,0.160133203,26.92942693,no counterexample
car,polynomial,f2,old,16,460120,0.165063326,31.52941085,no counterexample
car,polynomial,f2,old,18,619334,0.285530673,42.61921606,no counterexample
car,polynomial,f2,old,20,812756,0.213405078,54.61371992,no counterexample
car,polynomial,f3,old,2,72979,0.028362031,8.712397376,no counterexample
car,polynomial,f3,old,4,207009,0.122299568,24.28587474,no counterexample
car,polynomial,f3,old,6,447311,0.070894916,41.5362034,no counterexample
car,polynomial,f3,old,8,824989,0.187582707,57.60395446,no counterexample
car,polynomial,f3,old,10,1371147,0.348472819,110.3404839,no counterexample
car,polynomial,f3,old,12,2116889,0.427481535,183.6139112,no counterexample
car,polynomial,f3,old,14,3093319,0.639641847,218.3146609,no counterexample
car,polynomial,f3,old,16,4331541,0.673058569,291.9301091,no counterexample
car,polynomial,f3,old,18,5862659,0.953649664,371.7863368,no counterexample
car,polynomial,f3,old,20,7717777,1.018860708,467.2219313,no counterexample
car,polynomial,f4,old,2,133239,0.016745062,15.00287989,no counterexample
car,polynomial,f4,old,4,440597,0.217381909,47.53289976,no counterexample
car,polynomial,f4,old,6,1036179,0.09200562,107.8022101,no counterexample
car,polynomial,f4,old,8,2016753,0.360156743,218.9460541,no counterexample
car,polynomial,f4,old,10,3479087,0.658100604,365.4398788,no counterexample
car,polynomial,f4,old,12,5519949,0.754689544,460.2485913,no counterexample
car,polynomial,f4,old,14,8236107,0.973488364,533.8855103,no counterexample
car,polynomial,f4,old,16,11724329,1.340244343,731.0919727,no counterexample
car,polynomial,f4,old,18,16081383,1.783101483,989.4236108,no counterexample
car,polynomial,f4,old,20,21404037,2.374205718,1335.851558,no counterexample
water,polynomial,f1,old,2,36626,0.004938131,4.498056034,counterexample found
water,polynomial,f2,old,2,36445,0.004120681,4.509360856,no counterexample
water,polynomial,f2,old,4,68473,0.03190086,34.74218393,no counterexample
water,polynomial,f3,old,2,91084,0.012769582,2966.056493,counterexample found
water,polynomial,f4,old,2,105341,0.049615054,34.17011808,no counterexample
water,polynomial,f4,old,4,262493,0.061896185,37.1381206,no counterexample
water,polynomial,f4,old,6,527117,0.381645323,87.59921521,no counterexample
thermo,polynomial,f1,old,2,20951,0.003714358,1.259610871,no counterexample
thermo,polynomial,f1,old,4,42819,0.036144631,2.871495584,no counterexample
thermo,polynomial,f1,old,6,74703,0.009725541,19.38526534,no counterexample
