model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
car,linear,f2,old,50,263055,1.207983781,1498.32065,no counterexample
car,linear,f3,old,5,27116,0.030170112,3.963657788,counterexample found
car,linear,f3,old,15,137926,0.598592198,1333.71813,counterexample found
car,linear,f4,old,5,41643,0.122778241,5.406994438,no counterexample
car,linear,f4,old,10,120533,0.595944354,43.99774362,no counterexample
car,linear,f4,old,15,239173,2.781258485,310.3877499,no counterexample
car,linear,f4,old,20,397563,4.877934682,815.8158087,no counterexample
car,linear,f4,old,25,595703,8.766037588,2269.745992,no counterexample
car,linear,f4,old,30,833593,9.683306925,4446.315909,no counterexample
car,linear,f4,old,35,1111233,12.33564808,7169.244634,no counterexample
water,linear,f1,old,5,7523,0.023374008,0.262271814,counterexample found
water,linear,f1,old,10,19493,0.049667825,0.652987872,counterexample found
water,linear,f1,old,15,36363,0.063213541,8.463520769,counterexample found
water,linear,f1,old,20,58133,0.253922741,38.28501894,counterexample found
water,linear,f1,old,25,84803,0.462042161,799.10506,counterexample found
water,linear,f1,old,30,116373,0.788011891,1214.932463,counterexample found
water,linear,f1,old,40,194213,0.859536727,7546.450325,counterexample found
water,linear,f2,old,5,6717,0.02203869,0.263887093,no counterexample
water,linear,f2,old,10,16737,0.014320745,1.259733165,no counterexample
water,linear,f2,old,15,30507,0.02544064,6.133011607,no counterexample
water,linear,f2,old,20,48027,0.350584466,52.5051736,no counterexample
water,linear,f2,old,25,69297,0.393261224,1864.811315,no counterexample
water,linear,f2,old,30,94317,0.435669096,794.8941479,no counterexample
water,linear,f2,old,35,123087,0.235999052,1493.674261,no counterexample
water,linear,f2,old,50,231897,0.695127268,7425.252718,no counterexample
water,linear,f3,old,5,23967,0.028924605,2.063029397,counterexample found
water,linear,f3,old,10,66022,0.141031933,248.5915342,counterexample found
water,linear,f4,old,5,28686,0.036532064,2.465941496,no counterexample
water,linear,f4,old,10,82521,0.701954938,836.0751193,no counterexample
thermo,linear,f1,old,5,6737,0.006125147,0.509300119,counterexample found
thermo,linear,f1,old,10,16777,0.078378943,2.763881493,counterexample found
thermo,linear,f1,old,15,30567,0.146794124,7.872833909,counterexample found
thermo,linear,f1,old,20,48107,0.200450336,8.119917723,counterexample found
thermo,linear,f1,old,25,69397,0.677330118,91.926049,counterexample found
thermo,linear,f1,old,30,94437,0.468470066,98.23966968,counterexample found
thermo,linear,f1,old,35,123227,0.759562085,165.1999539,counterexample found
thermo,linear,f1,old,40,155767,1.765812351,688.4143653,counterexample found
thermo,linear,f1,old,45,192057,1.196696991,372.1891075,counterexample found
thermo,linear,f1,old,50,232097,2.453552647,557.6001295,counterexample found
thermo,linear,f2,old,5,6788,0.046217498,0.832924129,no counterexample
thermo,linear,f2,old,10,16873,0.098429595,3.394402016,no counterexample
thermo,linear,f2,old,15,30708,0.183074693,9.942694365,no counterexample
thermo,linear,f2,old,20,48293,0.563857459,21.11436135,no counterexample
thermo,linear,f2,old,25,69628,0.397921911,75.85024538,no counterexample
thermo,linear,f2,old,30,94713,0.457536446,297.2436152,no counterexample
thermo,linear,f2,old,35,123548,0.479909605,249.3454697,no counterexample
thermo,linear,f2,old,40,156133,1.874764708,254.5315383,no counterexample
thermo,linear,f2,old,45,192468,1.199218781,598.2372272,no counterexample
thermo,linear,f2,old,50,232553,2.383194207,2403.807237,no counterexample
thermo,linear,f3,old,5,28596,0.085209177,4.050800131,counterexample found
thermo,linear,f3,old,10,82131,1.470577473,285.3394818,counterexample found
thermo,linear,f3,old,15,162766,1.376265818,1566.680744,counterexample found
thermo,linear,f4,old,5,28840,0.317906101,8.878725979,no counterexample
thermo,linear,f4,old,10,82910,0.532217701,16.66908911,no counterexample
thermo,linear,f4,old,15,164380,3.81524769,106.9771546,no counterexample
thermo,linear,f4,old,20,273250,6.999658,319.3258893,no counterexample
thermo,linear,f4,old,25,409520,9.333525671,682.5773821,no counterexample
thermo,linear,f4,old,30,573190,5.391963527,1628.339347,no counterexample
thermo,linear,f4,old,35,764260,6.909976241,3042.572025,no counterexample
thermo,linear,f4,old,40,982730,23.32018116,20713.42431,no counterexample
thermo,linear,f4,old,45,1228600,28.96636387,9559.944711,no counterexample
battery,linear,f1,old,5,10920,0.039741049,2.525813906,counterexample found
battery,linear,f1,old,10,24890,0.097456994,43.17636625,counterexample found
battery,linear,f2,old,5,13129,0.025506903,0.481292046,no counterexample
battery,linear,f2,old,10,30179,0.037456481,4.450272836,no counterexample
battery,linear,f2,old,15,52129,0.105744636,27.06204555,no counterexample
battery,linear,f2,old,20,78979,0.279104354,242.5893901,no counterexample
battery,linear,f2,old,25,110729,0.234669006,4776.128066,no counterexample
battery,linear,f3,old,5,33870,0.240438881,13.75834434,counterexample found
battery,linear,f4,old,5,42927,0.0473867,8.10472835,no counterexample
battery,linear,f4,old,10,122952,0.22595464,210.44189,no counterexample
