model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,satisfiability_result
nested-3,,f10,new,16,49148,0.19759153,0.411713612,SAT
nested-3,,f10,new,20,76392,0.371750303,0.737817829,SAT
nested-1,,f1,old,4,2072,0.003075691,0.048255313,
nested-1,,f1,old,8,6472,0.008141829,0.2206977,
nested-1,,f1,old,12,13272,0.014856515,0.665323955,
nested-1,,f1,old,16,22472,0.061308808,1.493692027,
nested-1,,f1,old,20,34072,0.03694012,2.852515719,
nested-1,,f2,old,4,2083,0.003277718,0.048949603,
nested-1,,f2,old,8,6499,0.0084646,0.218555415,
nested-1,,f2,old,12,13315,0.015596231,0.627991242,
nested-1,,f2,old,16,22531,0.063413954,1.389590788,
nested-1,,f2,old,20,34147,0.037553143,2.571002007,
nested-1,,f3,old,4,2090,0.005633553,0.053286166,
nested-1,,f3,old,8,6510,0.007098971,0.228035698,
nested-1,,f3,old,12,13330,0.014050476,0.645117651,
nested-1,,f3,old,16,22550,0.055077966,1.420941729,
nested-1,,f3,old,20,34170,0.036086279,3.370703837,
nested-1,,f4,old,4,2094,0.005915663,0.060265069,
nested-1,,f4,old,8,6522,0.007190405,0.252168678,
nested-1,,f4,old,12,13350,0.014354545,0.651616771,
nested-1,,f4,old,16,22578,0.05516134,1.411794309,
nested-1,,f4,old,20,34206,0.035991224,2.626856443,
nested-1,,f5,old,4,2083,0.005669727,0.051166151,
nested-1,,f5,old,8,6499,0.007825293,0.235739938,
nested-1,,f5,old,12,13315,0.041937157,0.65666284,
nested-1,,f5,old,16,22531,0.024251852,1.415457103,
nested-1,,f5,old,20,34147,0.071323557,3.840221366,
nested-1,,f6,old,4,2091,0.005567034,0.056506685,
nested-1,,f6,old,8,6511,0.007681193,0.232913416,
nested-1,,f6,old,12,13331,0.041632473,0.656786226,
nested-1,,f6,old,16,22551,0.023566493,1.560815975,
nested-1,,f6,old,20,34171,0.071303592,2.492900967,
nested-1,,f7,old,4,2626,0.00394268,0.051554577,
nested-1,,f7,old,8,8310,0.009984662,0.234300576,
nested-1,,f7,old,12,17130,0.018832223,0.640135134,
nested-1,,f7,old,16,29086,0.067055389,1.405748937,
nested-1,,f7,old,20,44178,0.088656757,2.602880144,
nested-1,,f8,old,4,2615,0.007353825,0.08275828,
nested-1,,f8,old,8,8287,0.009718989,0.275382857,
nested-1,,f8,old,12,17095,0.017743917,0.698376683,
nested-1,,f8,old,16,29039,0.059156219,1.439839986,
nested-1,,f8,old,20,44119,0.083066436,2.773039436,
nested-1,,f9,old,4,2621,0.007083177,0.067923507,
nested-1,,f9,old,8,8305,0.009074527,0.250061018,
nested-1,,f9,old,12,17125,0.046686496,0.669854718,
nested-1,,f9,old,16,29081,0.029342042,1.426721798,
nested-1,,f9,old,20,44173,0.078605807,2.948235294,
nested-1,,f10,old,4,2636,0.006847846,0.065993669,
nested-1,,f10,old,8,8336,0.00912773,0.252220041,
nested-1,,f10,old,12,17172,0.04555125,0.700499193,
nested-1,,f10,old,16,29144,0.029431914,1.859564503,
nested-1,,f10,old,20,44252,0.078102753,2.864149946,
nested-2,,f1,old,4,24232,0.214499421,1.561301746,
nested-2,,f1,old,8,72172,0.495839209,7.225183135,
nested-2,,f1,old,12,145648,1.739124496,24.57420949,
nested-2,,f1,old,16,244660,3.382437958,60.13145761,
nested-2,,f1,old,20,369208,4.528495068,116.7811976,
nested-2,,f2,old,4,28345,0.28173658,1.344721476,
nested-2,,f2,old,8,86597,0.324734394,6.961818959,
nested-2,,f2,old,12,176593,0.675849302,22.27333446,
nested-2,,f2,old,16,298333,0.75837592,46.95099583,
nested-2,,f2,old,20,451817,1.463849572,105.7156495,
nested-2,,f3,old,4,28349,0.345928503,1.628572557,
nested-2,,f3,old,8,86601,0.758493028,7.858436734,
nested-2,,f3,old,12,176597,1.48574392,26.04310333,
nested-2,,f3,old,16,298337,1.78594032,64.39588898,
nested-2,,f3,old,20,451821,2.229348503,141.9234822,
nested-2,,f4,old,4,24754,0.234758692,1.43467747,
nested-2,,f4,old,8,73090,0.495863507,7.768337623,
nested-2,,f4,old,12,146962,0.647594857,24.23643149,
nested-2,,f4,old,16,246370,0.704593842,54.42142849,
nested-2,,f4,old,20,371314,0.869503,118.87601,
nested-2,,f5,old,4,14889,0.234859063,0.937813539,
nested-2,,f5,old,8,40965,0.405000205,3.057275749,
nested-2,,f5,old,12,80001,0.90258956,7.225638894,
nested-2,,f5,old,16,131997,1.349503592,19.33611538,
nested-2,,f5,old,20,196953,1.78405938,30.82085696,
nested-2,,f6,old,4,14935,0.022287097,0.706705814,
nested-2,,f6,old,8,41119,0.121455842,2.931702395,
nested-2,,f6,old,12,80327,0.515361276,8.416806404,
nested-2,,f6,old,16,132559,0.94852934,17.11682427,
nested-2,,f6,old,20,197815,1.12349582,29.55936352,
nested-2,,f7,old,4,18701,0.129334857,1.330643979,
nested-2,,f7,old,8,53869,0.204958742,5.048733392,
nested-2,,f7,old,12,107309,0.43293485,11.70488574,
nested-2,,f7,old,16,179021,0.678198312,22.49493187,
nested-2,,f7,old,20,269005,0.93905982,36.89248775,
nested-2,,f8,old,4,14969,0.02036909,0.612116331,
nested-2,,f8,old,8,41177,0.09436616,2.50748736,
nested-2,,f8,old,12,80409,0.160616671,6.782139905,
nested-2,,f8,old,16,132665,0.431402198,14.79510848,
nested-2,,f8,old,20,197945,0.713484459,44.54680893,
nested-2,,f9,old,4,24729,0.102394951,1.785468582,
nested-2,,f9,old,8,73041,0.39258472,6.990437957,
nested-2,,f9,old,12,146889,0.495827584,22.07366445,
nested-2,,f9,old,16,246273,0.674827459,51.51340999,
nested-2,,f9,old,20,371193,0.876849302,104.108258,
nested-2,,f10,old,4,28876,0.14462347,1.312603726,
nested-2,,f10,old,8,87524,0.222349588,7.336792956,
nested-2,,f10,old,12,177916,0.568396048,21.1057517,
