model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
thermo,linear,f2,new,5,9321,0.002636738,0.564396824,no counterexample
thermo,linear,f2,new,10,17441,0.004260605,1.625609414,no counterexample
thermo,linear,f2,new,15,25561,0.006443436,3.795245724,no counterexample
thermo,linear,f2,new,20,33681,0.031987947,5.436950944,no counterexample
thermo,linear,f2,new,25,41801,0.034387423,5.399561793,no counterexample
thermo,linear,f2,new,30,49921,0.01229446,7.316097709,no counterexample
thermo,linear,f2,new,35,58041,0.030611375,11.31097892,no counterexample
thermo,linear,f2,new,40,66161,0.064757665,9.890739024,no counterexample
thermo,linear,f2,new,45,74281,0.019325619,14.14152302,no counterexample
thermo,linear,f2,new,50,82401,0.053640546,19.24840117,no counterexample
thermo,linear,f3,new,5,14548,0.036448179,2.613298243,counterexample found
thermo,linear,f3,new,10,36878,0.110562416,6.442942066,counterexample found
thermo,linear,f3,new,15,68208,0.143869432,6.498815281,counterexample found
thermo,linear,f3,new,20,108538,0.435566736,15.52562591,counterexample found
thermo,linear,f3,new,25,157868,0.361051418,17.12041802,counterexample found
thermo,linear,f3,new,30,216198,1.169865511,29.80529192,counterexample found
thermo,linear,f3,new,35,283528,2.665039493,33.09755289,counterexample found
thermo,linear,f3,new,40,359858,2.911688348,49.65381153,counterexample found
thermo,linear,f3,new,45,445188,2.444717549,58.33705899,counterexample found
thermo,linear,f3,new,50,539518,5.248037077,97.54758921,counterexample found
thermo,linear,f4,new,5,13575,0.060698845,1.728454787,no counterexample
thermo,linear,f4,new,10,34400,0.089917376,4.766729009,no counterexample
thermo,linear,f4,new,15,63625,0.159438406,8.552877934,no counterexample
thermo,linear,f4,new,20,101250,0.508015459,19.83768098,no counterexample
thermo,linear,f4,new,25,147275,0.88510628,48.11076955,no counterexample
thermo,linear,f4,new,30,201700,0.698064948,52.01190935,no counterexample
thermo,linear,f4,new,35,264525,2.08563152,93.74431555,no counterexample
thermo,linear,f4,new,40,335750,3.267116568,122.0449836,no counterexample
thermo,linear,f4,new,45,415375,4.196901088,273.8239845,no counterexample
thermo,linear,f4,new,50,503400,5.369751591,288.985232,no counterexample
battery,linear,f1,new,5,17673,0.003965409,1.463374666,counterexample found
battery,linear,f1,new,10,33313,0.007330031,3.106585537,counterexample found
battery,linear,f1,new,15,48953,0.009818882,9.93335089,counterexample found
battery,linear,f1,new,20,64593,0.037356723,7.952002513,counterexample found
battery,linear,f1,new,25,80233,0.016540914,176.8887457,counterexample found
battery,linear,f1,new,30,95873,0.180881305,65.54312873,counterexample found
battery,linear,f1,new,35,111513,0.039319201,213.0512342,counterexample found
battery,linear,f1,new,40,127153,0.042451253,387.8651822,counterexample found
battery,linear,f1,new,45,142793,0.062385043,502.4655291,counterexample found
battery,linear,f1,new,50,158433,0.065404093,1902.449438,counterexample found
battery,linear,f2,new,5,26939,0.005061692,2.14154589,no counterexample
battery,linear,f2,new,10,50319,0.009466131,4.3636878,no counterexample
battery,linear,f2,new,15,73699,0.029570229,9.124157989,no counterexample
battery,linear,f2,new,20,97079,0.033907883,10.38927409,no counterexample
battery,linear,f2,new,25,120459,0.054829647,12.26861478,no counterexample
battery,linear,f2,new,30,143839,0.172380521,12.95295052,no counterexample
battery,linear,f2,new,35,167219,0.038706513,11.02760516,no counterexample
battery,linear,f2,new,40,190599,0.085668595,12.4810828,no counterexample
battery,linear,f2,new,45,213979,0.075418825,16.2254434,no counterexample
battery,linear,f2,new,50,237359,0.096716681,18.29898787,no counterexample
battery,linear,f3,new,5,26419,0.014263099,3.378820596,counterexample found
battery,linear,f3,new,10,58619,0.093901005,8.085416967,counterexample found
battery,linear,f3,new,15,99319,0.345156793,33.53037747,counterexample found
battery,linear,f3,new,20,148519,0.663880497,11728.17934,counterexample found
battery,linear,f3,new,25,206219,0.917158001,634.3032361,counterexample found
battery,linear,f3,new,30,272419,1.47462328,1944.538776,counterexample found
battery,linear,f4,new,5,24058,0.042431088,3.542801642,no counterexample
battery,linear,f4,new,10,50818,0.058947684,17.75260538,no counterexample
battery,linear,f4,new,15,82878,0.163465586,44.58444583,no counterexample
battery,linear,f4,new,20,120238,0.193627543,10526.56454,no counterexample
railroad,linear,f1,old,5,28713,0.005604254,2.944548686,counterexample found
railroad,linear,f1,old,10,129573,0.013924179,14.65050192,counterexample found
railroad,linear,f1,old,15,357833,0.0738675,36.285869,counterexample found
